target_angular,actual_angular,target_velocity,actual_velocity,time
-0.608284,0,1.04429,0,0.001
-0.607241,-0.555419,1.04138,4.46481e-07,0.002
-0.606201,-0.558108,1.03846,-1.34098,0.003
-0.605164,-0.571697,1.03555,-3.59924,0.004
-0.60413,-0.585223,1.03263,-3.20493,0.005
-0.603099,-0.596665,1.02971,-2.54623,0.006
-0.602071,-0.596665,1.02679,-2.54623,0.007
-0.601045,-0.596665,1.02386,-2.54623,0.008
-0.600023,-0.596665,1.02094,-2.54623,0.009
-0.599003,-0.596665,1.01801,-2.54623,0.01
-0.597987,-0.589954,1.01508,2.76331,0.011
-0.596973,-0.589954,1.01215,2.76331,0.012
-0.595962,-0.589954,1.00921,2.76331,0.013
-0.594955,-0.589954,1.00628,2.76331,0.014
-0.59395,-0.518167,1.00334,1.60144,0.015
-0.592948,-0.518167,1.0004,1.60144,0.016
-0.591949,-0.518167,0.997463,1.60144,0.017
-0.590953,-0.518167,0.994521,1.60144,0.018
-0.58996,-0.543333,0.991579,-3.2921,0.019
-0.58897,-0.543333,0.988635,-3.2921,0.02
-0.587983,-0.543333,0.985689,-3.2921,0.021
-0.586999,-0.543333,0.982742,-3.2921,0.022
-0.586017,-0.543333,0.979794,-3.2921,0.023
-0.585039,-0.584875,0.976845,1.04145,0.024
-0.584064,-0.584875,0.973894,1.04145,0.025
-0.583091,-0.584875,0.970943,1.04145,0.026
-0.582122,-0.584875,0.96799,1.04145,0.027
-0.581155,-0.541384,0.965036,2.82161,0.028
-0.580192,-0.541384,0.962082,2.82161,0.029
-0.579231,-0.541384,0.959126,2.82161,0.03
-0.578273,-0.541384,0.956169,2.82161,0.031
-0.577319,-0.541384,0.953212,2.82161,0.032
-0.576367,-0.502408,0.950254,-1.22291,0.033
-0.575418,-0.502408,0.947294,-1.22291,0.034
-0.574472,-0.502408,0.944335,-1.22291,0.035
-0.57353,-0.502408,0.941374,-1.22291,0.036
-0.57259,-0.557172,0.938413,-3.10461,0.037
-0.571653,-0.557172,0.935451,-3.10461,0.038
-0.570719,-0.557172,0.932489,-3.10461,0.039
-0.569788,-0.557172,0.929527,-3.10461,0.04
-0.56886,-0.557172,0.926563,-3.10461,0.041
-0.567935,-0.578338,0.9236,1.70713,0.042
-0.567013,-0.578338,0.920636,1.70713,0.043
-0.566093,-0.578338,0.917671,1.70713,0.044
-0.565177,-0.578338,0.914707,1.70713,0.045
-0.564264,-0.578338,0.911742,1.70713,0.046
-0.563354,-0.578338,0.908777,1.70713,0.047
-0.562446,-0.530158,0.905812,1.73351,0.048
-0.561542,-0.530158,0.902846,1.73351,0.049
-0.560641,-0.530158,0.899881,1.73351,0.05
-0.559742,-0.530158,0.896915,1.73351,0.051
-0.558847,-0.530158,0.89395,1.73351,0.052
-0.557954,-0.530158,0.890984,1.73351,0.053
-0.557065,-0.54156,0.888019,-3.01965,0.054
-0.556178,-0.54156,0.885054,-3.01965,0.055
-0.555295,-0.54156,0.882089,-3.01965,0.056
-0.554414,-0.54156,0.879124,-3.01965,0.057
-0.553537,-0.54156,0.876159,-3.01965,0.058
-0.552662,-0.54156,0.873195,-3.01965,0.059
-0.55179,-0.58817,0.870231,0.156544,0.06
-0.550921,-0.58817,0.867267,0.156544,0.061
-0.550056,-0.58817,0.864304,0.156544,0.062
-0.549193,-0.58817,0.861342,0.156544,0.063
-0.548333,-0.58817,0.858379,0.156544,0.064
-0.547476,-0.554845,0.855418,3.12711,0.065
-0.546622,-0.551535,0.852456,3.30995,0.066
-0.545771,-0.551535,0.849496,3.30995,0.067
-0.544923,-0.551535,0.846536,3.30995,0.068
