target_angular,actual_angular,target_velocity,actual_velocity,time
1.25547,0,0.00605085,0,0.001
1.25548,1.24498,0.0121016,-7.60146e-07,0.002
1.25549,1.24846,0.0181522,1.71616,0.003
1.25551,1.30075,0.0242025,14.1646,0.004
1.25554,1.35282,0.0302523,12.2097,0.005
1.25557,1.39524,0.0363018,8.91644,0.006
1.25561,1.39524,0.0423506,8.91644,0.007
1.25566,1.39524,0.0483988,8.91644,0.008
1.25571,1.39524,0.0544462,8.91644,0.009
1.25577,1.39524,0.0604928,8.91644,0.01
1.25583,1.2451,0.0665384,-19.4008,0.011
1.2559,1.2451,0.0725829,-19.4008,0.012
1.25598,1.2451,0.0786263,-19.4008,0.013
1.25606,1.2451,0.0846685,-19.4008,0.014
1.25615,0.846399,0.0907093,-4.79468,0.015
1.25624,0.846399,0.0967487,-4.79468,0.016
1.25634,0.846399,0.102787,-4.79468,0.017
1.25645,0.846399,0.108823,-4.79468,0.018
1.25656,1.12512,0.114857,28.4608,0.019
1.25668,1.12512,0.12089,28.4608,0.02
1.2568,1.12512,0.126921,28.4608,0.021
1.25693,1.12512,0.13295,28.4608,0.022
1.25707,1.12512,0.138977,28.4608,0.023
1.25721,1.55709,0.145001,-5.23941,0.024
1.25736,1.55709,0.151023,-5.23941,0.025
1.25751,1.55709,0.157043,-5.23941,0.026
1.25767,1.55709,0.163061,-5.23941,0.027
1.25784,1.25942,0.169076,-19.4485,0.028
1.25801,1.25942,0.175088,-19.4485,0.029
1.25819,1.25942,0.181097,-19.4485,0.03
1.25837,1.25942,0.187104,-19.4485,0.031
1.25856,1.25942,0.193108,-19.4485,0.032
1.25876,0.981742,0.199109,6.40099,0.033
1.25896,0.981742,0.205106,6.40099,0.034
1.25917,0.981742,0.211101,6.40099,0.035
1.25938,0.981742,0.217092,6.40099,0.036
1.2596,1.31599,0.223079,20.4818,0.037
1.25983,1.31599,0.229064,20.4818,0.038
1.26006,1.31599,0.235044,20.4818,0.039
1.2603,1.31599,0.241021,20.4818,0.04
1.26054,1.31599,0.246994,20.4818,0.041
1.26079,1.44089,0.252964,-14.3482,0.042
1.26105,1.44089,0.258929,-14.3482,0.043
1.26131,1.44089,0.264891,-14.3482,0.044
1.26158,1.44089,0.270848,-14.3482,0.045
1.26185,1.44089,0.276801,-14.3482,0.046
1.26213,1.44089,0.28275,-14.3482,0.047
1.26242,1.09378,0.288695,-11.2242,0.048
1.26271,1.09378,0.294635,-11.2242,0.049
1.263,1.09378,0.30057,-11.2242,0.05
1.26331,1.09378,0.306501,-11.2242,0.051
1.26362,1.09378,0.312427,-11.2242,0.052
1.26393,1.09378,0.318348,-11.2242,0.053
1.26425,1.18465,0.324265,21.7035,0.054
1.26458,1.18465,0.330176,21.7035,0.055
